Antología de la poesía Chilena I: generación de los 60,"Calderón, Teresa; Calderón, Lila; Harris, Thomas",Poesía,
Defensa del Marxismo. Edición de 1934,"Mariategui, José Carlos",Filosofía,V
"Mala lengua, un retrato de Pablo de Rokha","Bisama, Álvaro",Narrativa,*
Nietzsche: El superhombre y la voluntad del poder,"Llácer, Toni",Filosofía,V
La eneida,"Virgilio, Publio",Narrativa,V
Poesía reunida de Teresa Wilms Montt,"Wilms Montt, Teresa",Poesía,
Berta Isla,"Marías, Javier ",Narrativa,
Un escritor invisible ,"Giaconi, Claudio ",Narrativa,*
"Goodbye, Columbus","Roth, Piliph ",Narrativa,
De un mundo a otro,"Bioy Casares, Adolfo ",Narrativa,
La gran novela americana,"Roth, Philip ",Narrativa,
El viejo y la jovencita,"Svevo, Italo ",Narrativa,
La isla de los pinguinos,"France, Anatole ",Narrativa,
Dos hermanos. Tras la ruta de un lugar de la noche,"Fuguet, Alberto ",Narrativa (guión cinematográfico),
Aguafuertes porteñas,"Arlt, Roberto ",Narrativa,
El hombre Kiev,"Malamud, Bernard ",Narrativa,
El mal de Portnoy,"Roth, Philip ",Narrativa,
Esperando a los bárbaros,"Coetzee, J.M.",Narrativa,
Cielo negro,"Soto, Simón ",Narrativa,
Plaza Mayor,"Muñoz, Braulio ",Poesía,
La actividad forestal,"Falco, Federico ",Narrativa,
Meditaciones filosóficas en torno al poema,"Baumgarten, Alexander",Ensayo,
El manuscrito de Winchester,"Campaña, Claudia ",Ensayo,
Lacan y un situacionista: Intervención performática de su encuentro pifiado,"González, Rodrigo ",Ensayo (filosofía),
Plano americano,"Guerreiro, Leila ",Narrativa,
Deslizamientos: Crónica y Ensayos,"Bisama, Álvaro",Ensayo,
Loquibambia (sexo e insurgencia),"Moreno, María ",Ensayo,
Oficios campesinos del Valle del Aconcagua,"Moyano Altamirano, Cristian",Ensayo,
Diario de quedar embarazada,"Apablaza, Claudia ",Narrativa,
Orwell en España: Homenaje a Cataluña y otros escritos sobre la guerra civil española,"Orwell, George ",Ensayo,
Modernismo y fascismo: La sensación de comienzo bajo Musolinni y Hitler,"Griffin, Roger ",Historia,
Panaderos ,"Meneses, Nicolás",Narrativa,
El pánico político; el pueblo judío no sueña,"Lacoue-Labarthe, Philippe; Jean-Luc, Nancy",Filosofía,
Disputas sobre el sujeto: Consecuencias teóricas y políticas de un modelo de poder jurídico: Judith Buttler,"Lorey, Isabell ",Filosofía,
El legado de Europa,"Zweig, Stefan ",Ensayo,
"El camino de la memoria. De la represión a la justicia en Chile, 1973-2013","Peñaloza Palma, Carla ",Ensayo (Historia),
"Inquisiciones figurativas: Conversión, tortura y verdad en el Atlántico luso-hispano","Graff Zivin, Erin ",Ensayo (Historia),
Moise y el mundo de la razón,"Williams, Tennessee ",Narrativa,
"Chile decide, por una nueva constitución","Bassa Mercado, Jaime ",Ensayo,
Desde el exilio: La creación artística como testigo,"Rella, Franco",Narrativa,
"Inglaterra, Inglaterra","Barnes, Julian ",Narrativa,
Antología Poética,"Carreño, Juan",Poesia,
Quedeshím Quedeshóth,"Rojas, Gonzalo ",Poesía,V
Una sensación extraña,"Pamuk, Orhan ",Narrativa,
El Rey de la Habana,"Gutiérrez, Pedro Juan ",Narrativa,
Una historia sencilla ,"Guerreiro, Leila ",Narrativa,
Mr Gwyn,"Baricco, Alessandro ",Narrativa,
Villa triste,"Modiano, Patrick ",Narrativa,
La ciencia presunta de Marx,"Echeverría, Rafael ",Ensayo (filosofía),
Correr,"Echenoz, Jean ",Narrativa,*
Un trébol de cuatro hojas: Las juventudes comunistas de Chile en el siglo XX,"Álvarez, Rolando;  Loyola, Manuel",Ensayo (Historia),
Todavía cruzado,"Bley, Álvaro ",Narrativa,*
Según venga el juego,"Didion, Joan ",Narrativa,
VHS (unas memorias),"Fuguet, Alberto ",Narrativa,
La casa del dolor ajeno ,"Hebert, Julián ",Narrativa,
Missing,"Fuguet, Alberto ",Narrativa,
Había mucha neblina o humo o no se qué,"Rivera Garza, Cristina ",Narrativa,
Estocolmo o la conclusión del sistema de las cosas,"Havilio, Iosi",Narrativa,
Ayer no te vi en Babilonia,"Lobo Antúnez, Antonio ",Narrativa,
Nosotros caminamos en sueños,"Pron, Patricio ",Narrativa,V
El vientre de la ballena,"Cercas, Javier",Narrativa,
Fauna; desplazamientos,"Levrero, Mario ",Novela,V
El alma de Gardel,"Levrero, Mario ",Narrativa,
Canción de tumba ,"Herbert, Julián",Narrativa,
Polvo de huesos,"Muñoz, Rosabetty ",Poesía,
Un séptimo hombre,"Berger, John ",Ensayo,*
Poesía completa,"Borges, Jorge Luis ",Poesía,
Rayuela,"Cortázar, Julio",Narrativa,
La tragedia del lenguaje,"Parra, Marco Antonio de la ",Teatro,
La orquesta en Chile: Génesis y Evolución,"Guarda Carrasco, Ernesto; Izquierdo, José Manuel",Narrativa (Historia),
"Los que aman, odian","Ocampo, Silvina; Bioy Casares, Adolfo ",Narrativa,
La abadesa de Castro,Stendhal,Narrativa,
Memorias 1873-1968,"Guy, Alice",Narrativa,
Don Quijjote de la Mancha,"Cervantes, Miguel de ",Narrativa,
Voices: an anthology of poems and pictures,"Summerfield, Geoffrey",Poesía,
El mercader de Venecia y la tragedia de Macbeth,"Shakespeare, William ",Teatro,
Esta historia ya no está disponible,"Mairal, Pedro ",Novela,V
"Los dos Borges, vidas sueños y enigmas","Teitelboim, Volodia ",Ensayo,
Nosotros los vencidos,"Buttazzoni, Fernando ",Novela,
Antología poética,"Benedetti, Mario ",Poesía,
El daño,"Maturana, Andrea",Narrativa,
Evocaciones,"Rivano, Juan",Filosofia,
Novela,"Bertoni, Claudio ",Poesía,
Poetica del café: Un espacio de la modernidad literaria europea,"Martí Monteverde, Antoni ",Ensayo,V
Del inconveniente de haber nacido,"Cioran, Emile ",Filosofia,
HD,"Petrel, Óscar ",Poesía,
El arte de insultar,"Schopenhauer, Arthur ",Filosofia,
Discusión,"Borges, Jorge Luis ",Ensayo,
Valparaíso: Rutas patrimoniales y personajes históricos,"Vildósila Basualto, Luis",Historia,
El museo de cera,"Edwards, Jorge ",Novela,
La rata en llamas,"Higgins, George V. ",Novela,
Apología de Erasmo ,"Ridao, José María",Ensayo,
Santiago en el ojo,"González, Valentina (y otros 15)",Narrativa,
Recado confidencial a los Chilenos,"Chihuailaf, Elicura ",Ensayo,
Educar es gobernar: Orígenesm fulgor y fines del triestamentalismo. Un ensayo clip,"Orellana, Miguel ",Ensayo,
Criptopunks: La libertad y el futuro de internet,"Assange, Julian ",Ensayo,
Anteayer,"Romero, Juan Cristóbal ",Narrativa,
Corte,"Reyes, Felipe",Narrativa,
